3328,1669,conifer,c4_6,399704.47104,425646.70608,auto
2251,550,deciduous,deciduous,399476.5719480834,425883.3676102038,manual
2298,600,deciduous,deciduous,399486.6374239834,425872.89313382574,manual
3727,368,deciduous,d13_6,399788.93136,425922.10176,auto
3881,166,deciduous,d13_6,399821.53008,425964.86112,auto
3951,181,deciduous,d13_6,399836.34768,425961.68592,auto
4009,222,deciduous,d13_6,399848.62512,425953.00704,auto
4031,120,deciduous,d13_6,399853.28208,425974.5984,auto
4077,65,deciduous,d13_6,399863.01936,425986.2408,auto
3836,449,deciduous,d13_6,399812.00448,425904.95568,auto
3720,505,deciduous,d13_6,399787.4496,425893.1016,auto
3720,505,deciduous,d13_6,399787.4496,425893.1016,auto
3622,504,deciduous,d13_6,399766.70496,425893.31328,auto
3514,615,deciduous,d13_6,399743.84352,425869.8168,auto
4395,487,deciduous,deciduous,399930.4993137795,425896.8685003222,manual
3241,1338,deciduous,deciduous,399686.06353020447,425716.7551177803,manual
3201,1396,deciduous,d13_6,399677.58768,425704.49472,auto
3181,1435,deciduous,d13_6,399673.35408,425696.2392,auto
3169,1501,deciduous,d13_6,399670.81392,425682.26832,auto
2900,1311,deciduous,d13_6,399613.872,425722.48752,auto
2761,1690,deciduous,deciduous,399584.5084731497,425642.2056491375,manual
3065,1389,deciduous,deciduous,399648.8295492008,425705.8097896817,manual
