4089,4025,conifer,c4_6,442865.55952,465147.988,auto
4089,4025,conifer,c4_6,442865.55952,465147.988,auto
4089,4025,conifer,c4_6,442865.55952,465147.988,auto
4280,3672,conifer,c4_6,442905.9904,465222.71104,auto
4280,3672,conifer,c4_6,442905.9904,465222.71104,auto
4280,3672,conifer,c4_6,442905.9904,465222.71104,auto
4340,3594,conifer,c4_6,442918.6912,465239.22208,auto
4390,3528,conifer,c4_6,442929.2752,465253.19296,auto
4340,3594,conifer,c4_6,442918.6912,465239.22208,auto
4340,3594,conifer,c4_6,442918.6912,465239.22208,auto
4518,3412,conifer,c4_6,442956.37024,465277.74784,auto
1493,885,deciduous,d2_4,442316.03824,465812.6632,auto
1531,856,deciduous,d2_4,442324.08208,465818.80192,auto
1598,826,deciduous,d2_4,442338.26464,465825.15232,auto
1968,688,deciduous,d2_4,442416.58624,465854.36416,auto
1835,1209,deciduous,d2_4,442388.4328,465744.07888,auto
2122,1402,deciduous,d2_4,442449.18496,465703.22464,auto
2122,1402,deciduous,d2_4,442449.18496,465703.22464,auto
2194,1485,deciduous,d2_4,442464.42592,465685.6552,auto
2287,1453,deciduous,deciduous,442484.15816647065,465692.3034103229,manual
2336,1123,deciduous,d2_4,442494.48448,465762.28336,auto
2424,1019,deciduous,d2_4,442513.11232,465784.29808,auto
2544,891,deciduous,d2_4,442538.51392,465811.39312,auto
1306,1600,deciduous,d2_4,442276.45408,465661.312,auto
2474,1754,deciduous,d2_4,442523.69632,465628.71328,auto
2741,1844,deciduous,d2_4,442580.21488,465609.66208,auto
2615,1926,deciduous,d2_4,442553.5432,465592.30432,auto
2732,1248,deciduous,d2_4,442578.30976,465735.82336,auto
2528,2027,deciduous,d2_4,442535.12704,465570.92464,auto
2386,1067,deciduous,d2_4,442505.06848,465774.13744,auto
1579,2194,deciduous,d2_4,442334.24272,465535.57408,auto
1544,2094,deciduous,d2_4,442326.83392,465556.74208,auto
1198,2411,deciduous,d2_4,442253.59264,465489.63952,auto
1106,2508,deciduous,d2_4,442234.11808,465469.10656,auto
667,2127,deciduous,d2_4,442141.19056,465549.75664,auto
94,1208,deciduous,d2_4,442019.89792,465744.29056,auto
1788,2661,deciduous,d2_4,442378.48384,465436.71952,auto
1556,2893,deciduous,d2_4,442329.37408,465387.60976,auto
1505,2946,deciduous,d2_4,442318.5784,465376.39072,auto
1412,3051,deciduous,d2_4,442298.89216,465354.16432,auto
1355,3109,deciduous,d2_4,442286.8264,465341.88688,auto
1276,3192,deciduous,d2_4,442270.10368,465324.31744,auto
1216,3255,deciduous,d2_4,442257.40288,465310.9816,auto
1098,3392,deciduous,d2_4,442232.42464,465281.98144,auto
1057,3436,deciduous,d2_4,442223.74576,465272.66752,auto
1081,3525,deciduous,d2_4,442228.82608,465253.828,auto
1081,3525,deciduous,d2_4,442228.82608,465253.828,auto
1126,3604,deciduous,deciduous,442238.54391405283,465237.0296992427,manual
1198,3580,deciduous,d2_4,442253.59264,465242.1856,auto
1303,3463,deciduous,d2_4,442275.81904,465266.95216,auto
1245,3535,deciduous,d2_4,442263.5416,465251.7112,auto
2025,3203,deciduous,d2_4,442428.652,465321.98896,auto
2082,3149,deciduous,d2_4,442440.71776,465333.41968,auto
2134,3099,deciduous,d2_4,442451.72512,465344.00368,auto
2190,3041,deciduous,d2_4,442463.5792,465356.28112,auto
1983,2760,deciduous,deciduous,442419.9622004628,465415.5949945991,manual
2058,2685,deciduous,d2_4,442435.63744,465431.6392,auto
2499,2736,deciduous,d2_4,442528.98832,465420.84352,auto
3102,4087,deciduous,d2_4,442656.63136,465134.86384,auto
3129,4033,deciduous,d2_4,442662.34672,465146.29456,auto
3174,3963,deciduous,deciduous,442671.9628164977,465160.920439514,manual
3228,3841,deciduous,d2_4,442683.30304,465186.93712,auto
3252,3793,deciduous,d2_4,442688.38336,465197.09776,auto
3332,3635,deciduous,d2_4,442705.31776,465230.5432,auto
3304,3696,deciduous,d2_4,442699.39072,465217.63072,auto
3252,3793,deciduous,d2_4,442688.38336,465197.09776,auto
3377,4537,deciduous,d2_4,442714.84336,465039.60784,auto
3677,4505,deciduous,d2_4,442778.34736,465046.3816,auto
3975,4152,deciduous,d2_4,442841.428,465121.10464,auto
3975,4152,deciduous,d2_4,442841.428,465121.10464,auto
4256,4397,deciduous,deciduous,442901.03832141636,465069.22577136615,manual
4197,4476,deciduous,d2_4,442888.42096,465052.52032,auto
4035,4050,deciduous,d2_4,442854.1288,465142.696,auto
4111,3942,deciduous,d2_4,442870.21648,465165.55744,auto
4166,3897,deciduous,d2_4,442881.85888,465175.08304,auto
3996,3460,deciduous,d2_4,442845.87328,465267.5872,auto
3420,3456,deciduous,d2_4,442723.9456,465268.43392,auto
3433,3402,deciduous,d2_4,442726.69744,465279.86464,auto
3531,3208,deciduous,d2_4,442747.44208,465320.93056,auto
3949,2836,deciduous,d2_4,442835.92432,465399.67552,auto
4463,2328,deciduous,d2_4,442944.72784,465507.20896,auto
